name,dice_disc,dice_cup,iou_disc,iou_cup,pred_vcdr,gt_vcdr,pred_hcdr,gt_hcdr,pred_acdr,gt_acdr,disc_detected,cup_detected,overall_dice,abs_vcdr_error,source
REFUGE1-train-165,0.9485798236906393,0.7681498828680025,0.9021891010502519,0.6235741444392718,0.4235,0.525,0.5,0.6094,0.2102,0.3149,True,True,0.8583648532793209,0.10150000000000003,REFUGE1-train
ORIGA-364,0.9630678723067537,0.7988757026608722,0.9287665475745164,0.6651066042295836,0.5,0.6747,0.5417,0.6324,0.2736,0.4298,True,True,0.880971787483813,0.17469999999999997,ORIGA
REFUGE1-val-297,0.9032420840052575,0.877012234328589,0.8235564757114434,0.7809633026627336,0.439,0.4267,0.4769,0.4603,0.2032,0.1876,True,True,0.8901271591669233,0.012299999999999978,REFUGE1-val
G1020-446,0.9132559560031573,0.8167539266160467,0.8403597526464205,0.6902654866034929,0.3857,0.3906,0.4,0.35,0.1585,0.1308,True,True,0.865004941309602,0.0049000000000000155,G1020
REFUGE1-train-130,0.9508549885424686,0.7864864864333455,0.9063141683545608,0.6481069041594536,0.3896,0.4306,0.4688,0.5,0.1837,0.2158,True,True,0.868670737487907,0.04099999999999998,REFUGE1-train
REFUGE1-train-342,0.9623614616376345,0.9092783504685938,0.9274534686775073,0.8336483931159122,0.4545,0.4557,0.473,0.4533,0.2169,0.209,True,True,0.9358199060531142,0.0011999999999999789,REFUGE1-train
ORIGA-221,0.9686668978960726,0.9393728222669209,0.9392376681403759,0.8856767410719003,0.5342,0.5616,0.6,0.6053,0.3184,0.3453,True,True,0.9540198600814968,0.02739999999999998,ORIGA
G1020-672,0.9705093833656261,0.904487917094103,0.9427083333099527,0.8256302520141146,0.4571,0.4,0.5362,0.4932,0.2493,0.1958,True,True,0.9374986502298646,0.057099999999999984,G1020
REFUGE1-val-328,0.9511111111008009,0.8486005088518701,0.9067796609982063,0.7370165745041971,0.4048,0.3563,0.4925,0.4225,0.1981,0.1451,True,True,0.8998558099763355,0.04849999999999999,REFUGE1-val
REFUGE1-train-168,0.9731270358207132,0.8307155322499689,0.9476605868170567,0.7104477611410113,0.4659,0.3953,0.5616,0.507,0.2631,0.2025,True,True,0.901921284035341,0.0706,REFUGE1-train
REFUGE1-train-115,0.9633521607649632,0.8687235329178026,0.9292954890793387,0.767914438420544,0.4384,0.4507,0.4853,0.5075,0.2127,0.2218,True,True,0.9160378468413829,0.012299999999999978,REFUGE1-train
G1020-21,0.9731551162420177,0.9273488017905155,0.9477138481525331,0.8645390070308837,0.5185,0.5897,0.5493,0.5507,0.284,0.3067,True,True,0.9502519590162666,0.07120000000000004,G1020
G1020-98,0.9692071611154045,0.8883977900061658,0.9402540690563665,0.7992047712923256,0.4268,0.4217,0.4545,0.4324,0.1935,0.1766,True,True,0.9288024755607851,0.005099999999999993,G1020
G1020-791,0.8938780837894025,0.9427430092999836,0.8081189520696691,0.8916876573932961,0.7467,0.7857,0.75,0.7941,0.5609,0.617,True,True,0.918310546544693,0.038999999999999924,G1020
ORIGA-77,0.956561222930883,0.7937888198264728,0.9167391934750003,0.6580844489538533,0.4925,0.4769,0.5312,0.4688,0.2623,0.2243,True,True,0.8751750213786779,0.015600000000000003,ORIGA
REFUGE1-val-208,0.9722595830449541,0.9610755041275431,0.9460166857362012,0.9250677098728538,0.7419,0.7419,0.7125,0.7349,0.5293,0.546,True,True,0.9666675435862486,0.0,REFUGE1-val
ORIGA-628,0.9863188036802808,0.9047740617588774,0.973006905189935,0.826107226068713,0.6623,0.5974,0.6795,0.641,0.4489,0.382,True,True,0.945546432719579,0.06489999999999996,ORIGA
REFUGE1-train-174,0.9751761517509465,0.9490114463606133,0.9515548973777966,0.9029702969403,0.4375,0.4321,0.4932,0.4459,0.2195,0.1974,True,True,0.9620937990557799,0.005400000000000016,REFUGE1-train
G1020-671,0.9281233664280172,0.6052631578378511,0.8658863691571352,0.4339622640924579,0.4051,0.3117,0.4328,0.3,0.1813,0.0904,True,True,0.7666932621329341,0.09340000000000004,G1020
G1020-884,0.9640632486730804,0.817450232917516,0.9306197964675186,0.6912607449361561,0.5119,0.4699,0.5325,0.4198,0.2739,0.1812,True,True,0.8907567407952981,0.04200000000000004,G1020
ORIGA-477,0.961122841871058,0.8675324675002771,0.9251554280027462,0.7660550458213594,0.5467,0.5753,0.5634,0.6471,0.2996,0.3727,True,True,0.9143276546856676,0.02860000000000007,ORIGA
REFUGE1-train-225,0.9600491702401961,0.8763040238014752,0.9231678486779393,0.7798408487374145,0.4306,0.5278,0.5068,0.5211,0.2194,0.2765,True,True,0.9181765970208356,0.09720000000000006,REFUGE1-train
ORIGA-601,0.9644808743068044,0.9721530450311943,0.9313984168676396,0.9458149779319025,0.679,0.6923,0.6842,0.6623,0.471,0.4572,True,True,0.9683169596689993,0.013299999999999979,ORIGA
ORIGA-85,0.9496578690011039,0.9045186640116103,0.9041414611236822,0.8256814920498076,0.5072,0.5588,0.5385,0.6216,0.2761,0.3488,True,True,0.9270882665063571,0.05159999999999998,ORIGA
REFUGE1-val-236,0.9604616895756328,0.814356435593171,0.9239310181685819,0.686847599093231,0.3929,0.3636,0.5082,0.5246,0.2072,0.19,True,True,0.8874090625844019,0.029300000000000048,REFUGE1-val
PAPILA-124,0.9615336319075738,0.7226602673732376,0.9259169689566632,0.5657541599266905,0.3672,0.4264,0.3025,0.3279,0.109,0.1349,True,True,0.8420969496404057,0.059199999999999975,PAPILA
G1020-836,0.8647656345506699,0.6813365932615048,0.7617507546191947,0.5166872681685183,0.4156,0.3333,0.4103,0.3582,0.1744,0.1183,True,True,0.7730511139060874,0.08230000000000004,G1020
REFUGE1-train-196,0.9596787148440212,0.8852867829872015,0.922483014177811,0.7941834451013218,0.5,0.4677,0.5556,0.5,0.2767,0.2371,True,True,0.9224827489156113,0.032299999999999995,REFUGE1-train
G1020-498,0.9413968980853398,0.8036769533287146,0.8892822025390505,0.6717892425168179,0.358,0.4353,0.4054,0.3836,0.1398,0.1771,True,True,0.8725369257070272,0.07730000000000004,G1020
CRFO-v4-51,0.9743958868794406,0.9136842105022716,0.9500701824553827,0.8410852712770792,0.6,0.5783,0.6316,0.7105,0.377,0.4039,True,True,0.944040048690856,0.02169999999999994,CRFO-v4
REFUGE1-val-344,0.9091866835133882,0.9643175735734988,0.8334943017030424,0.9310938845421579,0.7342,0.6471,0.7391,0.6494,0.5346,0.4205,True,True,0.9367521285434435,0.08709999999999996,REFUGE1-val
REFUGE1-val-199,0.9520937246148695,0.8789873417276461,0.9085676333648757,0.7841011742742455,0.4545,0.4458,0.4928,0.5072,0.2287,0.2294,True,True,0.9155405331712578,0.008700000000000041,REFUGE1-val
PAPILA-392,0.9710881882829355,0.7668116426642084,0.9438011860922931,0.621812262581562,0.5051,0.4141,0.5333,0.4205,0.2652,0.1681,True,True,0.868949915473572,0.09099999999999997,PAPILA
ORIGA-6,0.9739452741635893,0.8928387428930232,0.9492137696355883,0.8064215914003527,0.6627,0.65,0.6986,0.5972,0.4618,0.3835,True,True,0.9333920085283063,0.012699999999999934,ORIGA
G1020-867,0.9704238472173914,0.7704918032365851,0.9425469350612408,0.6266666666109629,0.5195,0.4615,0.5,0.3425,0.2634,0.1639,True,True,0.8704578252269882,0.05799999999999994,G1020
CRFO-v4-48,0.9739153230964227,0.31379621277603276,0.9491568727401851,0.18609625666458865,0.4583,0.274,0.4545,0.3284,0.2015,0.0913,True,True,0.6438557679362278,0.18429999999999996,CRFO-v4
ORIGA-90,0.9816017315911081,0.9502602660222598,0.9638682252717563,0.9052341597297391,0.625,0.5488,0.6216,0.6479,0.3882,0.3601,True,True,0.965930998806684,0.07620000000000005,ORIGA
REFUGE1-train-291,0.9469755469633594,0.8739659366971306,0.8992911268418653,0.7761452030444126,0.4375,0.4937,0.5323,0.6129,0.231,0.298,True,True,0.910470741830245,0.05620000000000003,REFUGE1-train
ORIGA-26,0.9827859846052645,0.9668431317646464,0.966154584710366,0.9358144551814555,0.625,0.6338,0.6622,0.7222,0.4208,0.4561,True,True,0.9748145581849554,0.00880000000000003,ORIGA
REFUGE1-val-54,0.9844391408020577,0.9499701016354402,0.9693551419257501,0.9047076689102238,0.7045,0.6813,0.7162,0.6622,0.5,0.4584,True,True,0.967204621218749,0.0232,REFUGE1-val
ORIGA-468,0.9464261856920986,0.8771251931654898,0.8983007861806163,0.7811424638140989,0.5541,0.6622,0.5373,0.6032,0.2956,0.3985,True,True,0.9117756894287942,0.10809999999999997,ORIGA
REFUGE1-train-348,0.9521246776437703,0.8536404160158381,0.90862401025233,0.7446532727968468,0.4819,0.5119,0.5821,0.6377,0.272,0.3306,True,True,0.9028825468298042,0.030000000000000027,REFUGE1-train
ORIGA-98,0.9785192454369368,0.8874488403517241,0.9579419299539296,0.7976701409688737,0.5185,0.5125,0.5616,0.6901,0.2921,0.3486,True,True,0.9329840428943305,0.006000000000000005,ORIGA
G1020-454,0.9262198210209992,0.8233360722413035,0.8625786163250762,0.6997206702933352,0.4714,0.4627,0.4655,0.3889,0.2237,0.1845,True,True,0.8747779466311514,0.008699999999999986,G1020
ORIGA-186,0.9718951169575775,0.9026548672033832,0.9453268173199351,0.8225806450728408,0.4925,0.4923,0.5484,0.5323,0.2729,0.2592,True,True,0.9372749920804804,0.00019999999999997797,ORIGA
REFUGE1-train-241,0.9527113852357657,0.9570200572517467,0.9096932515114186,0.9175824174815844,0.4658,0.4342,0.5,0.4783,0.2371,0.2125,True,True,0.9548657212437561,0.03160000000000002,REFUGE1-train
DRISHTI-GS1-test-21,0.9829135962346512,0.889920232039305,0.9664012738699618,0.8016723281734603,0.7283,0.8333,0.686,0.7586,0.4951,0.6221,True,True,0.9364169141369781,0.1050000000000001,DRISHTI-GS1-test
REFUGE1-val-53,0.9097431150091443,0.8410311492566578,0.8344300572949601,0.7256719183757486,0.4405,0.4268,0.5147,0.4769,0.2242,0.2059,True,True,0.875387132132901,0.01369999999999999,REFUGE1-val
G1020-366,0.9696683953957306,0.8374999999418402,0.941122635724798,0.7204301074408088,0.4531,0.4219,0.5484,0.4394,0.2556,0.1984,True,True,0.9035841976687854,0.031200000000000006,G1020
G1020-587,0.9370364525652984,0.8195413757906739,0.8815320664821398,0.6942567566394837,0.4091,0.381,0.4375,0.3934,0.1791,0.1356,True,True,0.8782889141779862,0.028100000000000014,G1020
PAPILA-219,0.8597740667870853,0.5851063829164781,0.7540383372656895,0.41353383452428066,0.3704,0.2603,0.3836,0.3103,0.1432,0.0785,True,True,0.7224402248517817,0.11010000000000003,PAPILA
ORIGA-529,0.966430358622118,0.920504244895279,0.9350413556398015,0.8527168731719392,0.642,0.5696,0.641,0.6933,0.411,0.3991,True,True,0.9434673017586985,0.07240000000000002,ORIGA
G1020-551,0.9770128219824764,0.5913107510827942,0.9550587172322706,0.41975953996760274,0.4211,0.5974,0.4507,0.7123,0.1896,0.4327,True,True,0.7841617865326354,0.17630000000000007,G1020
REFUGE1-train-286,0.9676483712520342,0.9221767114732489,0.9373244002390896,0.8555917480069933,0.4217,0.3855,0.4853,0.4853,0.1996,0.1818,True,True,0.9449125413626416,0.03620000000000001,REFUGE1-train
ORIGA-469,0.9722985347874049,0.9509388248969752,0.9460904432847831,0.9064665125974057,0.4267,0.3974,0.4521,0.4583,0.1978,0.1805,True,True,0.9616186798421901,0.029300000000000048,ORIGA
PAPILA-101,0.9821815554961342,0.8560523445552861,0.9649869883964396,0.7483317444472515,0.2857,0.3462,0.3235,0.3654,0.0935,0.1277,True,True,0.9191169500257101,0.0605,PAPILA
ORIGA-306,0.9214523897654552,0.8894075403790053,0.8543455856947038,0.800840607798227,0.6989,0.7805,0.6795,0.7215,0.4766,0.5595,True,True,0.9054299650722302,0.0816,ORIGA
REFUGE1-train-121,0.9721698113092904,0.8807947019284241,0.9458467186565891,0.7869822484275761,0.3974,0.3947,0.4714,0.4225,0.1865,0.1695,True,True,0.9264822566188573,0.00269999999999998,REFUGE1-train
ORIGA-460,0.9673437901649866,0.8266219238911285,0.9367529880244833,0.7044804575114889,0.4533,0.4189,0.5075,0.5303,0.2376,0.2221,True,True,0.8969828570280576,0.034399999999999986,ORIGA
REFUGE1-train-217,0.954813899176558,0.8426051559808273,0.9135348225778309,0.7280187572417329,0.4493,0.3971,0.5147,0.4412,0.2295,0.1742,True,True,0.8987095275786927,0.05219999999999997,REFUGE1-train
PAPILA-358,0.9661903646367909,0.8678500985908005,0.9345921450009881,0.7665505226035685,0.5652,0.5385,0.4719,0.3933,0.2673,0.2076,True,True,0.9170202316137956,0.026700000000000057,PAPILA
G1020-35,0.965410199545838,0.7562530651909636,0.933133304737824,0.6080441639899018,0.4198,0.4938,0.4789,0.4932,0.206,0.2459,True,True,0.8608316323684008,0.07400000000000001,G1020
ORIGA-333,0.8891394212590613,0.7034146341120286,0.8004059539738294,0.5425131677545136,0.3671,0.6757,0.5556,0.4918,0.2055,0.3209,True,True,0.796277027685545,0.3086,ORIGA
ORIGA-184,0.9391445148975962,0.8264721208532323,0.8852709234066327,0.7042628773797279,0.4507,0.5352,0.4776,0.5606,0.2107,0.309,True,True,0.8828083178754143,0.08450000000000002,ORIGA
ORIGA-560,0.9858093126276517,0.6443842216005907,0.9720157411243547,0.47534429140491585,0.4474,0.6456,0.5333,0.7568,0.2402,0.4931,True,True,0.8150967671141212,0.19819999999999993,ORIGA
REFUGE1-train-335,0.9492073762434032,0.8464864864407304,0.9033251231341682,0.7338331770633708,0.45,0.4024,0.4933,0.4444,0.22,0.1784,True,True,0.8978469313420668,0.04760000000000003,REFUGE1-train
G1020-467,0.9687664317912633,0.9160447760766771,0.9394248419143499,0.8450946642990451,0.4568,0.4941,0.4658,0.4795,0.2124,0.238,True,True,0.9424056039339702,0.0373,G1020
G1020-808,0.9521670783634384,0.8923459862543655,0.9087012430152444,0.805617977437571,0.4074,0.3735,0.5,0.4203,0.2022,0.1592,True,True,0.9222565323089019,0.033899999999999986,G1020
ORIGA-304,0.9661118428814978,0.9019082691361933,0.9344452165639462,0.8213414633645523,0.5753,0.6053,0.5616,0.6429,0.3218,0.3938,True,True,0.9340100560088456,0.029999999999999916,ORIGA
G1020-18,0.966074313398319,0.8824999999632293,0.9343749999805339,0.7897091722006182,0.4691,0.4691,0.5753,0.5135,0.2682,0.2488,True,True,0.9242871566807741,0.0,G1020
G1020-518,0.9115303983132963,0.880886426552129,0.8374422187820215,0.7871287128063424,0.4878,0.4805,0.4815,0.4384,0.2321,0.221,True,True,0.8962084124327127,0.007300000000000029,G1020
ORIGA-300,0.9436469962660334,0.9441185550804533,0.8933064921768167,0.8941520467313361,0.6812,0.6053,0.697,0.6269,0.477,0.3885,True,True,0.9438827756732433,0.07590000000000008,ORIGA
ORIGA-635,0.9382805868687003,0.9112119247922486,0.8837368661287406,0.8369047618549461,0.5921,0.5616,0.6351,0.6471,0.3828,0.3644,True,True,0.9247462558304744,0.03049999999999997,ORIGA
REFUGE1-train-162,0.9075739799125594,0.9453280317621606,0.8307875894789788,0.896324222347189,0.4568,0.4795,0.5303,0.5833,0.2492,0.2781,True,True,0.9264510058373601,0.022699999999999998,REFUGE1-train
REFUGE1-train-53,0.9533642691304713,0.8807339449116015,0.9108845045242544,0.7868852458337459,0.4737,0.4474,0.5342,0.5211,0.2547,0.2253,True,True,0.9170491070210365,0.02629999999999999,REFUGE1-train
REFUGE1-train-23,0.9756817786957123,0.8785140562028486,0.9525182295921228,0.7833482542173972,0.5882,0.5476,0.6628,0.5632,0.389,0.3038,True,True,0.9270979174492804,0.04059999999999997,REFUGE1-train
G1020-223,0.978555133064965,0.9320905458766917,0.9580107206385345,0.8728179550033893,0.4714,0.5075,0.5,0.459,0.2348,0.222,True,True,0.9553228394708284,0.036099999999999965,G1020
REFUGE1-val-242,0.8521173883909181,0.7604106419840918,0.7423384410331251,0.6134375364444951,0.7263,0.8475,0.8254,0.8254,0.604,0.7062,True,True,0.8062640151875049,0.12120000000000009,REFUGE1-val
G1020-927,0.9749802475510274,0.9476923076194083,0.9511819115891269,0.900584795189973,0.3973,0.4225,0.4179,0.4265,0.1663,0.1761,True,True,0.9613362775852179,0.0252,G1020
G1020-954,0.9776196272967729,0.8688046646723728,0.9562190877274919,0.7680412370342226,0.3908,0.3735,0.4557,0.3704,0.1793,0.1414,True,True,0.9232121459845728,0.017299999999999982,G1020
PAPILA-8,0.9561057023590759,0.8800192933693474,0.9159027925717766,0.7857450473560348,0.6283,0.7706,0.619,0.6762,0.3934,0.5338,True,True,0.9180624978642116,0.14229999999999998,PAPILA
REFUGE1-val-294,0.9080766995827068,0.8296473400580007,0.8316304810380667,0.7088866189265693,0.4211,0.4048,0.5075,0.4189,0.2181,0.1748,True,True,0.8688620198203537,0.01629999999999998,REFUGE1-val
PAPILA-390,0.9218070602039811,0.9347639484577355,0.8549555707333567,0.8775181304691766,0.4082,0.4043,0.3789,0.4483,0.1541,0.1923,True,True,0.9282855043308582,0.0039000000000000146,PAPILA
REFUGE1-val-358,0.950436600652436,0.8129870129518187,0.9055542535527173,0.6849015316787088,0.4598,0.5181,0.5873,0.5667,0.2667,0.3033,True,True,0.8817118068021274,0.05830000000000002,REFUGE1-val
ORIGA-227,0.9804996475763137,0.8311761395376709,0.9617452757572323,0.7111218102690842,0.5532,0.4433,0.5882,0.5233,0.324,0.2341,True,True,0.9058378935569923,0.1099,ORIGA
G1020-977,0.9619223659770558,0.8871067241895677,0.9266381766161768,0.7971175165413396,0.3974,0.4342,0.4559,0.4848,0.181,0.2195,True,True,0.9245145450833118,0.0368,G1020
ORIGA-617,0.9318181818084672,0.758088601275309,0.872340425514887,0.610420841658901,0.7284,0.5976,0.6835,0.5571,0.4913,0.3374,True,True,0.8449533915418881,0.13080000000000003,ORIGA
ORIGA-275,0.90424374318929,0.9378052751241354,0.8252234359319718,0.8828939300500984,0.56,0.5062,0.6154,0.6164,0.3502,0.3186,True,True,0.9210245091567126,0.05380000000000007,ORIGA
G1020-391,0.9442546128971565,0.9122807017122678,0.8943961531182838,0.838709677348157,0.4875,0.4651,0.4872,0.425,0.2348,0.1902,True,True,0.9282676573047122,0.022399999999999975,G1020
G1020-340,0.9578974227997207,0.8748201438219554,0.9191968657953185,0.7774936060386837,0.4429,0.4085,0.4306,0.4058,0.1893,0.1649,True,True,0.916358783310838,0.03440000000000004,G1020
G1020-31,0.9715316243595062,0.876230660979168,0.944639278533451,0.7797246557221872,0.4054,0.4286,0.4348,0.4493,0.1794,0.1871,True,True,0.9238811426693372,0.0232,G1020
ORIGA-327,0.8944483485468103,0.770807908206717,0.8090516145230345,0.6270849880608783,0.6351,0.8824,0.6232,0.8983,0.4015,0.7913,True,True,0.8326281283767636,0.24729999999999996,ORIGA
ORIGA-511,0.8611367837238777,0.8884758364128774,0.7561371474790802,0.799331103649226,0.6795,0.9,0.6914,0.7647,0.4737,0.6727,True,True,0.8748063100683776,0.22050000000000003,ORIGA
ORIGA-25,0.8155108837776196,0.8873449131073278,0.6884916649791426,0.7975022300805082,0.4133,0.5172,0.4691,0.5823,0.1938,0.3001,True,True,0.8514278984424737,0.10389999999999999,ORIGA
G1020-504,0.9613947696006448,0.5858225590465528,0.9256594723973979,0.4142496847153688,0.4459,0.6301,0.4603,0.6613,0.2033,0.4215,True,True,0.7736086643235989,0.18419999999999997,G1020
PAPILA-109,0.9681845698461815,0.757537688394627,0.9383311603528249,0.6097067744580681,0.2828,0.3636,0.2979,0.3608,0.0826,0.1307,True,True,0.8628611291204042,0.08079999999999998,PAPILA
G1020-720,0.9639115250189023,0.9097395647195955,0.9303370786326796,0.8344240837150245,0.5443,0.5244,0.56,0.5584,0.2997,0.2937,True,True,0.9368255448692488,0.01990000000000003,G1020
REFUGE1-train-163,0.9711517760928831,0.9264844485897039,0.9439213224326445,0.863037752338627,0.4805,0.4615,0.5067,0.4737,0.2444,0.2128,True,True,0.9488181123412935,0.01899999999999996,REFUGE1-train
ORIGA-496,0.8231735690923315,0.9158267501793564,0.6994859628173293,0.8447236180480038,0.6076,0.6716,0.6585,0.7164,0.3934,0.4751,True,True,0.869500159635844,0.06399999999999995,ORIGA
PAPILA-30,0.9757284929343089,0.7513711151049934,0.9526072786399701,0.6017569545239009,0.2549,0.233,0.3407,0.2967,0.0874,0.0647,True,True,0.8635498040196512,0.021900000000000003,PAPILA
G1020-537,0.9633683269939315,0.9135932560108749,0.9293255763643757,0.8409311347389978,0.4321,0.4405,0.4714,0.5224,0.2047,0.2192,True,True,0.9384807915024032,0.008400000000000019,G1020
PAPILA-215,0.9228102039055328,0.5668604650338865,0.85668301654113,0.39553752527473884,0.2708,0.2088,0.2791,0.1975,0.0724,0.0386,True,True,0.7448353344697096,0.06199999999999997,PAPILA
DRISHTI-GS1-test-31,0.967465392446297,0.8894356955234672,0.936981080700463,0.8008862629010078,0.5743,0.7053,0.7065,0.6489,0.4051,0.4526,True,True,0.9284505439848821,0.131,DRISHTI-GS1-test
ORIGA-4,0.9681916106834597,0.7789601702408343,0.9383443871054202,0.6379482071395444,0.5263,0.72,0.6029,0.7273,0.3202,0.5161,True,True,0.873575890462147,0.19369999999999998,ORIGA
REFUGE1-train-207,0.9547563804993647,0.9221347331180169,0.9134295227322213,0.8555194804500389,0.5125,0.5063,0.5507,0.4928,0.2803,0.2496,True,True,0.9384455568086908,0.006199999999999983,REFUGE1-train
G1020-748,0.9616908850628828,0.9137119547877719,0.9262086513813622,0.8411322934233892,0.5287,0.5301,0.6267,0.6111,0.3315,0.3156,True,True,0.9377014199253273,0.0014000000000000679,G1020
G1020-264,0.9693784739669592,0.8192488262590278,0.9405765836254054,0.6938369780852328,0.525,0.4568,0.5714,0.475,0.298,0.2204,True,True,0.8943136501129936,0.06820000000000004,G1020
G1020-948,0.917546438581885,0.7743634766659908,0.8476543209667247,0.6318051575026068,0.4133,0.3676,0.4203,0.3284,0.1728,0.1281,True,True,0.8459549576239379,0.04570000000000002,G1020
PAPILA-324,0.9629898931072275,0.777066178689324,0.9286215116964154,0.6354114712900044,0.5347,0.4608,0.5,0.4598,0.2651,0.2101,True,True,0.8700280358982757,0.07389999999999997,PAPILA
PAPILA-374,0.9675783650816873,0.8908926960824666,0.9371930346638311,0.8032520324550201,0.3763,0.3776,0.4091,0.4651,0.1587,0.1818,True,True,0.929235530582077,0.0012999999999999678,PAPILA
REFUGE1-val-329,0.9518978168226117,0.9483483483198695,0.9082108902176628,0.9017704168531255,0.5114,0.5169,0.5823,0.5926,0.2972,0.306,True,True,0.9501230825712406,0.00550000000000006,REFUGE1-val
REFUGE1-val-222,0.9439345349890087,0.7758362455928189,0.8938219895100771,0.633768352313722,0.4643,0.4512,0.5797,0.3857,0.2681,0.1738,True,True,0.8598853902909138,0.0131,REFUGE1-val
ORIGA-62,0.9751785930381985,0.902403138749269,0.9515595462913148,0.8221626451454724,0.5,0.4247,0.5278,0.5211,0.2697,0.2238,True,True,0.9387908658937338,0.07529999999999998,ORIGA
ORIGA-102,0.9763485089186094,0.9446726262153982,0.9537899543204788,0.8951465201055336,0.6118,0.5595,0.622,0.6875,0.3836,0.3904,True,True,0.9605105675670038,0.05230000000000001,ORIGA
REFUGE1-val-82,0.9534141671883278,0.9366666666146296,0.9109756097375818,0.8808777428546628,0.4048,0.4045,0.4783,0.4714,0.1959,0.1873,True,True,0.9450404169014788,0.00029999999999996696,REFUGE1-val
REFUGE1-val-301,0.9170937594073396,0.8721017202040312,0.8468819598873363,0.7732095489690703,0.4026,0.3662,0.5254,0.5556,0.2096,0.192,True,True,0.8945977398056855,0.03639999999999999,REFUGE1-val
DRISHTI-GS1-test-12,0.9383485730054145,0.9305376343985963,0.883857497052279,0.8700985320556989,0.8302,0.8333,0.7582,0.8152,0.6306,0.659,True,True,0.9344431037020053,0.0030999999999999917,DRISHTI-GS1-test
G1020-793,0.9322994333293723,0.6985294116791018,0.8731843575175089,0.5367231637407301,0.3803,0.2985,0.3906,0.3103,0.148,0.0916,True,True,0.815414422504237,0.08180000000000004,G1020
G1020-933,0.935606910467404,0.8500607533207762,0.8790050590033937,0.7392223161141496,0.6506,0.7308,0.6575,0.6479,0.4256,0.5026,True,True,0.89283383189409,0.08020000000000005,G1020
