name,source,label,prob,pred
ORIGA-634,ORIGA,1,0.14482065,0
G1020-382,G1020,0,0.66720724,1
PAPILA-117,PAPILA,0,0.7731351,1
EyePACS-Glaucoma-2585,EyePACS-Glaucoma,1,0.3304731,0
BEH-360,BEH,0,0.8199105,1
PAPILA-178,PAPILA,0,0.78242517,1
OIA-ODIR-TEST-ONLINE-151,OIA-ODIR-TEST-ONLINE,1,0.61851,0
G1020-925,G1020,0,0.72329515,1
OIA-ODIR-TRAIN-1374,OIA-ODIR-TRAIN,0,0.85793793,1
FIVES-135,FIVES,1,0.13658744,0
G1020-924,G1020,0,0.813946,1
OIA-ODIR-TEST-ONLINE-906,OIA-ODIR-TEST-ONLINE,0,0.74347687,1
G1020-517,G1020,1,0.20048036,0
G1020-243,G1020,0,0.6793993,1
BEH-119,BEH,1,0.47711957,0
BEH-502,BEH,0,0.71125585,1
BEH-97,BEH,1,0.34800297,0
OIA-ODIR-TRAIN-886,OIA-ODIR-TRAIN,0,0.8857165,1
FIVES-140,FIVES,1,0.39824653,0
G1020-102,G1020,0,0.7112601,1
OIA-ODIR-TRAIN-2841,OIA-ODIR-TRAIN,0,0.8336536,1
sjchoi86-HRF-364,sjchoi86-HRF,1,0.0031927067,0
G1020-213,G1020,0,0.78378785,1
PAPILA-296,PAPILA,1,0.36528522,0
OIA-ODIR-TEST-ONLINE-650,OIA-ODIR-TEST-ONLINE,0,0.9093081,1
OIA-ODIR-TEST-ONLINE-5,OIA-ODIR-TEST-ONLINE,0,0.92906237,1
EyePACS-Glaucoma-2481,EyePACS-Glaucoma,1,0.0017899238,0
DR-HAGIS-6,DR-HAGIS,1,0.28314155,0
BEH-133,BEH,1,0.44524255,0
OIA-ODIR-TRAIN-559,OIA-ODIR-TRAIN,1,0.17860983,0
OIA-ODIR-TEST-ONLINE-132,OIA-ODIR-TEST-ONLINE,0,0.96451116,1
G1020-651,G1020,1,0.38791603,0
G1020-708,G1020,1,0.34176946,0
sjchoi86-HRF-345,sjchoi86-HRF,1,0.031283997,0
EyePACS-Glaucoma-2026,EyePACS-Glaucoma,1,0.50321877,0
G1020-933,G1020,0,0.9542804,1
sjchoi86-HRF-169,sjchoi86-HRF,0,0.8741121,1
G1020-463,G1020,1,0.5453976,0
ORIGA-558,ORIGA,1,0.466169,0
CRFO-v4-3,CRFO-v4,1,0.62901956,0
OIA-ODIR-TEST-OFFLINE-108,OIA-ODIR-TEST-OFFLINE,1,0.281625,0
EyePACS-Glaucoma-1978,EyePACS-Glaucoma,1,0.029321862,0
ORIGA-208,ORIGA,1,0.5794879,0
BEH-20,BEH,1,0.5331844,0
OIA-ODIR-TEST-ONLINE-288,OIA-ODIR-TEST-ONLINE,0,0.7594223,1
G1020-349,G1020,1,0.5841025,0
BEH-87,BEH,1,0.44540977,0
OIA-ODIR-TRAIN-700,OIA-ODIR-TRAIN,1,0.049198095,0
DRISHTI-GS1-test-28,DRISHTI-GS1-test,1,0.07214391,0
sjchoi86-HRF-1,sjchoi86-HRF,0,0.796644,1
LES-AV-16,LES-AV,0,0.9896698,1
G1020-615,G1020,1,0.20048097,0
G1020-867,G1020,1,0.27850774,0
sjchoi86-HRF-31,sjchoi86-HRF,0,0.99557287,1
OIA-ODIR-TRAIN-1051,OIA-ODIR-TRAIN,0,0.90635693,1
OIA-ODIR-TRAIN-2243,OIA-ODIR-TRAIN,0,0.8310758,1
G1020-307,G1020,1,0.59874773,0
PAPILA-57,PAPILA,1,0.3307624,0
LES-AV-12,LES-AV,0,0.97315735,1
G1020-978,G1020,1,0.5942158,0
OIA-ODIR-TRAIN-2874,OIA-ODIR-TRAIN,0,0.69046855,1
BEH-112,BEH,1,0.31589448,0
G1020-773,G1020,1,0.5154705,0
EyePACS-Glaucoma-1203,EyePACS-Glaucoma,1,0.18224546,0
G1020-562,G1020,1,0.10843854,0
G1020-118,G1020,0,0.6876377,1
G1020-617,G1020,1,0.39620394,0
G1020-805,G1020,1,0.27703005,0
G1020-1006,G1020,1,0.58256865,0
ORIGA-50,ORIGA,1,0.614785,0
G1020-321,G1020,0,0.93348855,1
OIA-ODIR-TEST-OFFLINE-401,OIA-ODIR-TEST-OFFLINE,0,0.877678,1
ORIGA-283,ORIGA,1,0.26263458,0
FIVES-317,FIVES,0,0.7061877,1
OIA-ODIR-TRAIN-1781,OIA-ODIR-TRAIN,0,0.75266767,1
DRISHTI-GS1-train-17,DRISHTI-GS1-train,0,0.94168675,1
G1020-644,G1020,1,0.38562745,0
FIVES-165,FIVES,0,0.73848873,1
G1020-544,G1020,1,0.20244935,0
OIA-ODIR-TEST-OFFLINE-425,OIA-ODIR-TEST-OFFLINE,0,0.7141198,1
ORIGA-490,ORIGA,1,0.0026795284,0
OIA-ODIR-TRAIN-1080,OIA-ODIR-TRAIN,0,0.93736637,1
G1020-667,G1020,0,0.7289261,1
BEH-226,BEH,0,0.8663378,1
OIA-ODIR-TRAIN-2971,OIA-ODIR-TRAIN,0,0.87011015,1
ORIGA-162,ORIGA,0,0.7444223,1
G1020-883,G1020,1,0.3342845,0
REFUGE1-val-181,REFUGE1-val,1,0.036318216,0
G1020-401,G1020,1,0.10292729,0
FIVES-312,FIVES,0,0.887982,1
ORIGA-534,ORIGA,0,0.80424416,1
G1020-82,G1020,1,0.1394642,0
OIA-ODIR-TRAIN-1833,OIA-ODIR-TRAIN,0,0.8748916,1
OIA-ODIR-TEST-OFFLINE-405,OIA-ODIR-TEST-OFFLINE,0,0.7387505,1
OIA-ODIR-TEST-OFFLINE-274,OIA-ODIR-TEST-OFFLINE,0,0.97608995,1
REFUGE1-train-13,REFUGE1-train,1,0.17043555,0
ORIGA-386,ORIGA,1,0.37445107,0
G1020-216,G1020,0,0.7294996,1
OIA-ODIR-TRAIN-592,OIA-ODIR-TRAIN,1,0.1038918,0
G1020-606,G1020,1,0.61577696,0
BEH-101,BEH,1,0.26185617,0
ORIGA-428,ORIGA,0,0.71270776,1
OIA-ODIR-TRAIN-513,OIA-ODIR-TRAIN,1,0.00062807254,0
G1020-111,G1020,1,0.53059214,0
OIA-ODIR-TRAIN-3155,OIA-ODIR-TRAIN,0,0.7911682,1
OIA-ODIR-TRAIN-2124,OIA-ODIR-TRAIN,0,0.8098475,1
PAPILA-60,PAPILA,1,0.530653,0
G1020-466,G1020,1,0.6086639,0
G1020-368,G1020,0,0.73598146,1
FIVES-72,FIVES,1,0.56593716,0
CRFO-v4-76,CRFO-v4,0,0.8583654,1
BEH-160,BEH,1,0.2842719,0
FIVES-29,FIVES,1,0.14710927,0
ORIGA-304,ORIGA,1,0.24712378,0
BEH-436,BEH,0,0.9475055,1
ORIGA-353,ORIGA,1,0.66274506,0
OIA-ODIR-TEST-OFFLINE-52,OIA-ODIR-TEST-OFFLINE,0,0.7461284,1
REFUGE1-train-295,REFUGE1-train,0,0.9775251,1
OIA-ODIR-TRAIN-526,OIA-ODIR-TRAIN,1,0.38443434,0
FIVES-301,FIVES,0,0.8945277,1
G1020-386,G1020,1,0.009861983,0
OIA-ODIR-TEST-OFFLINE-65,OIA-ODIR-TEST-OFFLINE,0,0.88595384,1
ORIGA-650,ORIGA,1,0.018493898,0
OIA-ODIR-TRAIN-127,OIA-ODIR-TRAIN,0,0.9883362,1
ORIGA-331,ORIGA,0,0.79867595,1
BEH-91,BEH,1,0.42802784,0
BEH-129,BEH,1,0.24463636,0
PAPILA-116,PAPILA,0,0.77119476,1
G1020-976,G1020,1,0.19092968,0
OIA-ODIR-TRAIN-523,OIA-ODIR-TRAIN,1,0.49050164,0
G1020-668,G1020,0,0.9339341,1
ORIGA-626,ORIGA,1,0.4026547,0
G1020-781,G1020,0,0.8414149,1
OIA-ODIR-TRAIN-2489,OIA-ODIR-TRAIN,0,0.96275556,1
PAPILA-265,PAPILA,1,0.2904611,0
FIVES-341,FIVES,0,0.77503675,1
G1020-220,G1020,1,0.46114957,0
ORIGA-617,ORIGA,1,0.64901686,0
G1020-460,G1020,1,0.45844135,0
BEH-424,BEH,0,0.9049643,1
G1020-614,G1020,1,0.45531297,0
G1020-432,G1020,0,0.8607758,1
